date,category,conv_base,aov_base,inv_idx,margin_rate,comp_price_idx,seasonality,conv_base_lag1,aov_base_lag1,inv_idx_lag1,margin_rate_lag1,comp_price_idx_lag1,seasonality_lag1
2024-11-01,APPAREL,0.047157963010479705,139.2429229915556,0.7,0.41266252388950364,1.0,0.9,,,,,,
2024-11-02,APPAREL,0.042642076519250706,136.58605904083467,0.8963451639837203,0.40477845454490946,0.9912998599056619,1.0580876321091894,0.047157963010479705,139.2429229915556,0.7,0.41266252388950364,1.0,0.9
2024-11-03,APPAREL,0.038017886152735735,120.42533177327027,0.8968865024690125,0.3570388630016366,1.0363489228846414,1.0984277435986394,0.042642076519250706,136.58605904083467,0.8963451639837203,0.40477845454490946,0.9912998599056619,1.0580876321091894
2024-11-04,APPAREL,0.04620485793635601,133.28474012351356,0.6987270653802411,0.355547592852909,1.0555389134449702,0.991938714545837,0.038017886152735735,120.42533177327027,0.8968865024690125,0.3570388630016366,1.0363489228846414,1.0984277435986394
2024-11-05,APPAREL,0.051340553932244806,137.13511222420982,0.7199099782903775,0.3459004734542296,1.079174346164611,0.8201034948567204,0.04620485793635601,133.28474012351356,0.6987270653802411,0.355547592852909,1.0555389134449702,0.991938714545837
2024-11-06,APPAREL,0.04536673903827801,137.03849350482537,0.7452405975232472,0.35220209137466774,1.0973680560555392,0.7136108974373799,0.051340553932244806,137.13511222420982,0.7199099782903775,0.3459004734542296,1.079174346164611,0.8201034948567204
2024-11-07,APPAREL,0.047167225829292,126.05145996047425,0.6804777720572688,0.35130454298763436,1.1146606102754182,0.7539438732511375,0.04536673903827801,137.03849350482537,0.7452405975232472,0.35220209137466774,1.0973680560555392,0.7136108974373799
2024-11-08,APPAREL,0.03616605353232781,121.3072032305416,0.6709933015779935,0.3231810021271452,1.0824259458605194,0.9120208044899353,0.047167225829292,126.05145996047425,0.6804777720572688,0.35130454298763436,1.1146606102754182,0.7539438732511375
2024-11-09,APPAREL,0.04078915819204842,116.82807035296378,0.8112764331301214,0.3376117536492047,1.047368540186501,1.0700941737049325,0.03616605353232781,121.3072032305416,0.6709933015779935,0.3231810021271452,1.0824259458605194,0.9120208044899353
2024-11-10,APPAREL,0.037261823215682936,121.10581433847558,0.7365078298612229,0.3446499905830184,1.0317837656851325,1.110416464502793,0.04078915819204842,116.82807035296378,0.8112764331301214,0.3376117536492047,1.047368540186501,1.0700941737049325
